<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.03	1567.37	1607.27	1566.07	1603.13	51031	0	50
2012.01.04	1605.82	1618.45	1592.70	1611.60	63985	0	50
2012.01.05	1611.27	1625.60	1596.68	1621.88	65571	0	50
2012.01.06	1620.83	1631.14	1608.43	1616.55	56818	0	50
2012.01.09	1614.34	1623.61	1605.03	1610.63	59646	0	50
2012.01.10	1610.63	1640.11	1608.13	1632.45	56115	0	50
2012.01.11	1631.11	1647.08	1630.06	1640.51	56817	0	50
2012.01.12	1641.41	1661.98	1640.05	1649.55	55918	0	40
2012.01.13	1648.49	1649.55	1625.26	1638.21	63083	0	40
2012.01.16	1635.47	1647.05	1631.45	1643.38	36726	0	40
2012.01.17	1641.78	1667.63	1641.57	1651.75	59203	0	40
2012.01.18	1651.66	1662.34	1642.52	1659.67	64897	0	40
2012.01.19	1660.29	1670.05	1649.14	1657.45	59636	0	40
2012.01.20	1656.23	1666.90	1644.92	1666.81	52346	0	40
2012.01.23	1666.22	1681.40	1662.56	1677.15	47488	0	40
2012.01.24	1675.70	1679.55	1661.39	1665.65	50616	0	40
2012.01.25	1665.84	1713.01	1648.99	1709.91	58687	0	40
2012.01.26	1709.94	1730.30	1702.88	1720.52	54931	0	40
2012.01.27	1718.54	1739.73	1714.26	1738.65	50975	0	40
2012.01.30	1735.59	1739.88	1716.16	1729.55	58603	0	40
2012.01.31	1731.16	1747.52	1726.18	1738.18	62784	0	40
2012.02.01	1738.07	1751.14	1732.53	1743.75	67023	0	40
2012.02.02	1744.08	1761.00	1740.98	1759.19	59691	0	40
2012.02.03	1756.59	1763.16	1723.46	1725.37	53709	0	40
2012.02.06	1728.59	1738.04	1711.68	1719.79	54108	0	40
2012.02.07	1720.53	1749.81	1710.07	1745.05	55427	0	40
2012.02.08	1744.19	1752.02	1723.98	1733.10	53484	0	40
2012.02.09	1731.09	1752.59	1725.80	1729.99	57648	0	40
2012.02.10	1730.52	1734.61	1704.64	1721.39	56582	0	40
2012.02.13	1727.96	1733.25	1716.07	1722.75	51573	0	40
2012.02.14	1720.42	1727.66	1712.00	1720.59	57911	0	40
2012.02.15	1721.02	1737.27	1718.36	1727.95	53426	0	40
2012.02.16	1728.12	1729.84	1705.23	1728.26	55861	0	40
2012.02.17	1727.81	1735.80	1717.06	1722.87	44870	0	40
2012.02.20	1727.67	1737.14	1727.67	1734.44	31515	0	40
2012.02.21	1733.29	1760.10	1730.76	1759.45	50455	0	40
2012.02.22	1759.62	1781.61	1749.25	1776.05	48572	0	40
2012.02.23	1775.53	1787.26	1772.21	1779.85	49904	0	40
2012.02.24	1778.21	1782.79	1770.41	1772.05	49370	0	40
2012.02.27	1773.98	1779.34	1761.47	1767.15	50095	0	40
2012.02.28	1767.78	1790.31	1765.80	1784.05	49743	0	40
2012.02.29	1785.06	1790.56	1685.96	1696.35	61980	0	40
2012.03.02	1716.46	1724.10	1704.75	1711.38	53046	0	40
2012.03.05	1711.98	1716.70	1693.59	1706.25	57170	0	40
2012.03.06	1704.81	1708.89	1662.86	1674.24	60974	0	0
2012.03.07	1674.22	1688.08	1671.12	1684.55	50529	0	0
